SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,3418 26th St #8,SAN FRANCISCO,CA,94110,949000,2,2.0,SAN FRANCISCO,795,3969,2014,1,1194,615,Active,October-7-2017 02:00 PM,October-7-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/3418-26th-St-94110/unit-8/home/110052013,MLSListings,ML81679903,N,Y,37.7491644,-122.4190008
MLS Listing,,Single Family Residential,224 Roanoke St,SAN FRANCISCO,CA,94131,1349000,2,1.0,SAN FRANCISCO,857,1824,1928,4,1574,,Active,October-7-2017 02:00 PM,October-7-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/224-Roanoke-St-94131/home/809507,MLSListings,ML81679955,N,Y,37.7352096,-122.4301253
MLS Listing,,Single Family Residential,2767 37th Ave,SAN FRANCISCO,CA,94116,1249000,3,2.0,SAN FRANCISCO,1723,3000,1947,7,725,,Active,,,http://www.redfin.com/CA/San-Francisco/2767-37th-Ave-94116/home/1478066,MLSListings,ML81679550,N,Y,37.7353501,-122.4947599
MLS Listing,,Condo/Co-op,700 Illinois St #6,SAN FRANCISCO,CA,94107,799000,1,2.0,SAN FRANCISCO,913,9081,2002,7,875,609,Active,October-7-2017 02:00 PM,October-7-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/700-Illinois-St-94107/unit-6/home/12397500,MLSListings,ML81679645,N,Y,37.7629429,-122.3879704
MLS Listing,,Condo/Co-op,55 Page St #622,SAN FRANCISCO,CA,94102,1195000,2,2.0,SAN FRANCISCO,990,25801,2008,13,1207,567,Active,,,http://www.redfin.com/CA/San-Francisco/55-Page-St-94102/unit-622/home/17306886,MLSListings,ML81679029,N,Y,37.7739816,-122.421936
MLS Listing,,Condo/Co-op,1800 Bryant St #116,San Francisco,CA,94110,849000,1,2.0,San Francisco County,976,,2000,28,870,495,Active,,,http://www.redfin.com/CA/San-Francisco/1800-Bryant-St-94110/unit-116/home/1973015,BAREIS,21721314,N,Y,37.7640901,-122.4109297
MLS Listing,,Condo/Co-op,855 Folsom St #341,San Francisco,CA,94107,849000,1,1.5,San Francisco County,,55687,2001,45,,523,Active,,,http://www.redfin.com/CA/San-Francisco/855-Folsom-St-94107/unit-341/home/12397486,BAREIS,21719773,N,Y,37.7807737,-122.4021633
MLS Listing,,Condo/Co-op,333 Main St Unit 7A,San Francisco,CA,94105,1199000,2,2.0,South Beach,1107,,2008,1,1083,912,Active,October-7-2017 02:00 PM,October-7-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/333-Main-St-94105/unit-7A/home/21966972,San Francisco MLS,463540,N,Y,37.7890189,-122.3912082
MLS Listing,,Single Family Residential,67 Arago St,San Francisco,CA,94112,1295000,4,4.0,Mission Terrace,1816,1698,1930,1,713,,Active,,,http://www.redfin.com/CA/San-Francisco/67-Arago-St-94112/home/1130880,San Francisco MLS,463364,N,Y,37.7271614,-122.4432667
MLS Listing,,Single Family Residential,659 Mangels Ave,San Francisco,CA,94127,1695000,4,4.0,Sunnyside,,2495,1927,1,,,Active,,,http://www.redfin.com/CA/San-Francisco/659-Mangels-Ave-94127/home/1612759,San Francisco MLS,463462,N,Y,37.732818,-122.452515
MLS Listing,,Single Family Residential,931 Athens St,SAN FRANCISCO,CA,94112,999000,2,1.0,SAN FRANCISCO,1267,2495,1925,1,788,,Active,October-7-2017 01:00 PM,October-7-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/931-Athens-St-94112/home/1114431,MLSListings,ML81680416,N,Y,37.7142499,-122.433674
MLS Listing,,Single Family Residential,501 Crescent Ave,San Francisco,CA,94110,750000,2,1.0,Bernal Heights,960,1750,1905,1,781,,Active,,,http://www.redfin.com/CA/San-Francisco/501-Crescent-Ave-94110/home/764857,San Francisco MLS,463531,N,Y,37.7350226,-122.4160712
MLS Listing,,Condo/Co-op,715 Page St,San Francisco,CA,94117,1249000,2,2.0,Hayes Valley,1254,,1912,1,996,470,Active,October-7-2017 02:00 PM,October-7-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/715-Page-St-94117/home/12402527,San Francisco MLS,463527,N,Y,37.772567,-122.432674
MLS Listing,,Single Family Residential,15 Athens St,San Francisco,CA,94112,749000,2,1.0,Excelsior,949,1298,1946,1,789,,Active,October-7-2017 02:00 PM,October-7-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/15-Athens-St-94112/home/1232416,San Francisco MLS,463376,N,Y,37.7276968,-122.4236523
